,landstyle_type,trigger,landslide_size,country_name,population,longitude,latitude,Date
0,mudslide,downpour,medium,Italy,959470,14.252,40.8403,2009-01-26
2,landslide,downpour,medium,Italy,9205,16.6525,40.5452,2013-12-03
3,mudslide,downpour,medium,Italy,887,14.6074,40.6378,2010-09-10
5,mudslide,downpour,medium,Italy,988,16.1928,39.0177,2011-03-01
7,landslide,downpour,small,Italy,1250,16.158,39.1854,2011-11-23
8,landslide,downpour,medium,Italy,8420,9.2635,45.0664,2009-04-28
9,landslide,downpour,medium,Italy,1238,9.4,45.9835,2013-12-26
10,mudslide,downpour,medium,Italy,219948,15.5406,38.1947,2010-03-10
11,rock_fall,unknown,small,Italy,11226,8.6944,44.4099,2016-03-19
12,mudslide,downpour,large,Italy,219948,15.5555,38.1923,2009-10-01
13,mudslide,downpour,medium,Italy,43030,8.0499,45.576,2014-11-12
14,mudslide,downpour,medium,Italy,1879,16.1901,38.708,2010-02-15
15,landslide,downpour,medium,Italy,2935,8.5282,44.4197,2010-10-31
16,landslide,downpour,medium,Italy,1548,12.2186,46.4891,2015-08-04
17,landslide,downpour,medium,Italy,23230,12.8788,43.3166,2011-03-02
18,landslide,continuous_rain,medium,Italy,1773,8.1243,43.9266,2014-01-17
19,landslide,downpour,medium,Italy,20435,9.9381,44.0928,2010-10-31
20,landslide,downpour,medium,Italy,1473,15.4337,38.1944,2011-11-23
21,landslide,rain,medium,Italy,3178,9.2572,46.0161,2011-07-07
22,mudslide,downpour,large,Italy,219948,15.5445,38.196,2009-10-01
23,landslide,downpour,medium,Italy,3656,9.0563,44.3804,2014-01-19
24,mudslide,downpour,medium,Italy,16800,7.6639,44.6467,2008-05-30
25,landslide,downpour,medium,Italy,2218,9.3134,44.3471,2014-11-10
26,landslide,downpour,medium,Italy,32484,14.43,40.8308,2011-10-21
27,landslide,downpour,large,Italy,20036,12.6528,41.8368,2013-12-02
28,landslide,downpour,medium,Italy,1012,9.2386,45.97,2013-12-26
30,landslide,rain,medium,Italy,187056,13.8002,45.6621,2014-10-14
31,rock_fall,unknown,medium,Italy,2853,11.2315,46.3291,2014-01-21
32,landslide,downpour,medium,Italy,545,9.6882,44.2408,2011-10-25
34,landslide,downpour,medium,Italy,587,15.1933,37.8762,2011-03-04
35,landslide,downpour,medium,Italy,8130,8.5968,45.9,2014-11-15
36,landslide,downpour,medium,Italy,2001,11.2603,44.3189,2010-05-15
38,landslide,downpour,medium,Italy,2666,16.5877,38.9102,2011-11-22
39,landslide,continuous_rain,medium,Italy,3841,8.4163,44.2136,2014-03-09
40,rock_fall,rain,small,Italy,669,14.5982,41.6507,2015-11-27
42,mudslide,downpour,medium,Italy,2982,7.376,45.7513,2008-05-30
43,landslide,downpour,medium,Italy,3762,8.9042,44.4979,2013-12-26
44,landslide,rain,medium,Italy,4410,12.3009,43.3135,2013-04-08
45,landslide,rain,medium,Italy,8011,13.913,40.7477,2009-11-10
46,mudslide,downpour,medium,Italy,1473,15.4306,38.2072,2011-11-22
47,mudslide,downpour,medium,Italy,10023,10.1432,44.0493,2010-10-31
48,mudslide,downpour,medium,Italy,169140,15.6508,38.1102,2008-12-17
49,mudslide,downpour,medium,Italy,3942,14.599,38.018,2010-02-15
50,mudslide,downpour,medium,Italy,12762,7.829,43.862,2010-11-01
51,rock_fall,downpour,small,Italy,23902,14.482,40.7511,2015-02-04
52,mudslide,downpour,medium,Italy,64783,10.127,44.0513,2010-10-31
53,mudslide,downpour,medium,Italy,809,7.1526,44.8098,2008-05-30
54,landslide,downpour,large,Italy,611,9.7197,44.2231,2011-10-26
56,mudslide,downpour,medium,Italy,4846,16.56566431,38.89801323,2010-02-14
57,landslide,downpour,very_large,Italy,42867,11.3032,43.3491,2013-10-22
58,rock_fall,unknown,medium,Italy,322,11.1463,46.8621,2014-11-16
59,landslide,downpour,large,Italy,829,12.4374,41.8964,2014-01-31
60,mudslide,downpour,medium,Italy,2288,9.4192,46.0539,2013-12-26
61,landslide,earthquake,medium,Italy,6385,13.5114,43.6263,2013-08-22
62,landslide,downpour,medium,Italy,1392,9.8792,44.1473,2010-10-31
