,Date,country,landslide_type,trigger,landslide_size,population,latitude,longitude
560,05/30/2008,Italy,Mudslide,Downpour,Medium,16800.0,44.6467,7.6639
561,05/30/2008,Italy,Mudslide,Downpour,Medium,809.0,44.8098,7.1526
562,05/30/2008,Italy,Mudslide,Downpour,Medium,2982.0,45.7513,7.376
937,12/17/2008,Italy,Mudslide,Downpour,Medium,169140.0,38.1102,15.6508
978,01/26/2009,Italy,Mudslide,Downpour,Medium,959470.0,40.8403,14.252
1018,04/28/2009,Italy,Landslide,Downpour,Medium,8420.0,45.0664,9.2635
1206,10/01/2009,Italy,Mudslide,Downpour,Large,219948.0,38.196,15.5445
1207,10/01/2009,Italy,Mudslide,Downpour,Large,219948.0,38.1923,15.5555
1291,11/10/2009,Italy,Landslide,Rain,Medium,8011.0,40.7477,13.913
1506,02/14/2010,Italy,Mudslide,Downpour,Medium,4846.0,38.89801323,16.56566431
1510,02/15/2010,Italy,Mudslide,Downpour,Medium,1879.0,38.708,16.1901
1511,02/15/2010,Italy,Mudslide,Downpour,Medium,3942.0,38.018,14.599
1552,03/10/2010,Italy,Mudslide,Downpour,Medium,219948.0,38.1947,15.5406
1858,05/15/2010,Italy,Landslide,Downpour,Medium,2001.0,44.3189,11.2603
2402,09/10/2010,Italy,Mudslide,Downpour,Medium,887.0,40.6378,14.6074
2665,10/31/2010,Italy,Mudslide,Downpour,Medium,10023.0,44.0493,10.1432
2666,10/31/2010,Italy,Mudslide,Downpour,Medium,64783.0,44.0513,10.127
2667,10/31/2010,Italy,Landslide,Downpour,Medium,20435.0,44.0928,9.9381
2668,10/31/2010,Italy,Landslide,Downpour,Medium,1392.0,44.1473,9.8792
2669,10/31/2010,Italy,Landslide,Downpour,Medium,2935.0,44.4197,8.5282
2671,11/01/2010,Italy,Mudslide,Downpour,Medium,12762.0,43.862,7.829
3154,03/01/2011,Italy,Mudslide,Downpour,Medium,988.0,39.0177,16.1928
3160,03/02/2011,Italy,Landslide,Downpour,Medium,23230.0,43.3166,12.8788
3165,03/04/2011,Italy,Landslide,Downpour,Medium,587.0,37.8762,15.1933
3729,07/07/2011,Italy,Landslide,Rain,Medium,3178.0,46.0161,9.2572
4005,10/21/2011,Italy,Landslide,Downpour,Medium,32484.0,40.8308,14.43
4011,10/25/2011,Italy,Landslide,Downpour,Medium,545.0,44.2408,9.6882
4013,10/26/2011,Italy,Landslide,Downpour,Large,611.0,44.2231,9.7197
4036,11/22/2011,Italy,Landslide,Downpour,Medium,2666.0,38.9102,16.5877
4037,11/22/2011,Italy,Mudslide,Downpour,Medium,1473.0,38.2072,15.4306
4042,11/23/2011,Italy,Landslide,Downpour,Small,1250.0,39.1854,16.158
4043,11/23/2011,Italy,Landslide,Downpour,Medium,1473.0,38.1944,15.4337
4787,04/08/2013,Italy,Landslide,Rain,Medium,4410.0,43.3135,12.3009
5371,08/22/2013,Italy,Landslide,Earthquake,Medium,6385.0,43.6263,13.5114
5602,10/22/2013,Italy,Landslide,Downpour,Very_large,42867.0,43.3491,11.3032
5661,12/02/2013,Italy,Landslide,Downpour,Large,20036.0,41.8368,12.6528
5663,12/03/2013,Italy,Landslide,Downpour,Medium,9205.0,40.5452,16.6525
5717,12/26/2013,Italy,Landslide,Downpour,Medium,1012.0,45.97,9.2386
5718,12/26/2013,Italy,Mudslide,Downpour,Medium,2288.0,46.0539,9.4192
5719,12/26/2013,Italy,Landslide,Downpour,Medium,1238.0,45.9835,9.4
5720,12/26/2013,Italy,Landslide,Downpour,Medium,3762.0,44.4979,8.9042
5786,01/17/2014,Italy,Landslide,Continuous_Rain,Medium,1773.0,43.9266,8.1243
5796,01/21/2014,Italy,Rockfall,Unknown,Medium,2853.0,46.3291,11.2315
5820,01/31/2014,Italy,Landslide,Downpour,Large,829.0,41.8964,12.4374
5933,03/09/2014,Italy,Landslide,Continuous_Rain,Medium,3841.0,44.2136,8.4163
6217,10/14/2014,,Landslide,Rain,Medium,187056.0,45.6621,13.8002
6351,11/10/2014,,Landslide,Downpour,Medium,2218.0,44.3471,9.3134
6352,11/12/2014,,Mudslide,Downpour,Medium,43030.0,45.576,8.0499
6354,11/15/2014,,Landslide,Downpour,Medium,8130.0,45.9,8.5968
6558,01/19/2014,,Landslide,Downpour,Medium,3656.0,44.3804,9.0563
6625,11/16/2014,,Rockfall,Unknown,Medium,322.0,46.8621,11.1463
6710,02/04/2015,,Rockfall,Downpour,Small,23902.0,40.7511,14.482
7522,03/19/2016,,Rockfall,Unknown,Small,11226.0,44.4099,8.6944
7528,08/04/2015,,Landslide,Downpour,Medium,1548.0,46.4891,12.2186
8856,11/27/2015,,Rockfall,Rain,Small,669.0,41.6507,14.5982
